SURFACE add-owned-surface=0
SURFACE surface-bounds=0
SURFACE order-surface=0
SURFACE secondary-owner=0
SURFACE share-owned-window=0
SURFACE parent=43671 child=39971 window=2016 surface=148740311
SURFACE choose-format=0
SURFACE create-context=0
SURFACE attach-other-process-surface=0
SURFACE current-context=0
SURFACE swap-interval=0
SURFACE renderer=NVIDIA GeForce 8600M GT OpenGL Engine
SURFACE mode=ca
SURFACE frame_storage=pool
SURFACE quartzcore_path=/Users/shg/wk2/runs/20260923-204111-surface-ca-pool-94f68ad825/bin/../Frameworks/QuartzCore.framework/Versions/A/QuartzCore
SURFACE overlay=opaque-magenta rect=40,40,200,72 above=fresh-video-image
SURFACE FRAME id=128 allocation_ms=0.001 memcpy_ms=2.278 image_ms=0.012 transaction_ms=0.084 render_ms=13.990 flush_ms=3.930 total_ms=20.314
SURFACE FRAME id=129 allocation_ms=0.002 memcpy_ms=2.120 image_ms=0.012 transaction_ms=0.080 render_ms=14.442 flush_ms=3.926 total_ms=20.606
SURFACE FRAME id=130 allocation_ms=0.003 memcpy_ms=2.463 image_ms=0.014 transaction_ms=0.079 render_ms=14.419 flush_ms=3.745 total_ms=20.743
SURFACE FRAME id=131 allocation_ms=0.002 memcpy_ms=2.290 image_ms=0.011 transaction_ms=0.082 render_ms=14.213 flush_ms=3.859 total_ms=20.477
SURFACE FRAME id=132 allocation_ms=0.002 memcpy_ms=2.302 image_ms=0.013 transaction_ms=0.080 render_ms=14.288 flush_ms=3.795 total_ms=20.500
SURFACE FRAME id=133 allocation_ms=0.003 memcpy_ms=2.370 image_ms=0.014 transaction_ms=0.079 render_ms=14.244 flush_ms=4.017 total_ms=20.747
SURFACE FRAME id=134 allocation_ms=0.003 memcpy_ms=2.296 image_ms=0.012 transaction_ms=0.088 render_ms=14.564 flush_ms=3.804 total_ms=20.787
SURFACE FRAME id=135 allocation_ms=0.003 memcpy_ms=2.186 image_ms=0.010 transaction_ms=0.077 render_ms=14.226 flush_ms=3.777 total_ms=20.305
SURFACE FRAME id=136 allocation_ms=0.001 memcpy_ms=2.211 image_ms=0.013 transaction_ms=0.078 render_ms=14.408 flush_ms=3.764 total_ms=20.491
SURFACE FRAME id=137 allocation_ms=0.003 memcpy_ms=2.258 image_ms=0.013 transaction_ms=0.085 render_ms=14.304 flush_ms=3.792 total_ms=20.485
SURFACE FRAME id=138 allocation_ms=0.003 memcpy_ms=2.363 image_ms=0.014 transaction_ms=0.080 render_ms=14.295 flush_ms=3.940 total_ms=20.718
SURFACE FRAME id=139 allocation_ms=0.003 memcpy_ms=2.055 image_ms=0.012 transaction_ms=0.085 render_ms=14.813 flush_ms=3.774 total_ms=20.763
